VANID	DWID	Sex	Age	RaceName	CountyName	2015:Cat:VProp 	Ideal
4342107	85581526	F	54	Black	Wake	77.9	66.67
4325940	85565266	F	80	Black	Wake	0	70
4287104	85526247	M	40	Black	Wake	0	68.1
4288467	85527615	F	58	Hispanic	Wake	0	62.8
4343762	85583190	F	52	Black	Wake	0	76
4341751	85581168	M	55	Black	Wake	66.7	62.74
4357817	85597376	M	43	Native American	Wake	70.3	66.25
4336297	85575679	F	61	Black	Wake	0	63.9
4331008	85570365	F	43	Black	Wake	0	71.7
4342839	85582259	F	82	Black	Wake	0	74.9
4349154	85588625	M	61	Black	Wake	73.7	62.11
4293530	85532699	F	56	Black	Wake	0	61.4
4349164	85588635	F	46	Black	Wake	0	68.4
4349510	85588985	F	48	Black	Wake	0	66.2
4354635	85594159	F	57	Black	Wake	77.1	67.77
4365487	85605094	F	50	Black	Wake	69.5	62.19
4366181	85605791	F	60	Black	Wake	74.9	62.87
4366370	85605981	F	64	Black	Wake	73.4	51.97
4367501	85607124	F	55	Black	Wake	0	70.3
4369028	85608664	F	46	Black	Wake	0	73.2
4336791	85576175	F	54	Black	Wake	0	65.9
4336804	85576188	F	49	Black	Wake	0	66.8
4360642	85600214	F	61	Hispanic	Wake	0	84.6
4361395	85600973	M	70	Black	Wake	0	71.6
4420731	85660884	F	48	Black	Wake	74.1	59.31
4420923	85661078	F	44	Black	Wake	0	70.6
4421268	85661424	F	56	Black	Wake	0	70.8
4390320	85630151	F	59	Black	Wake	0	70.2
4390947	85630787	F	42	Black	Wake	0	66.4
4422635	85662800	F	40	Black	Wake	0	65.6
4425312	85665501	F	68	Hispanic	Wake	0	81.1
4433712	85673997	M	36	Black	Wake	0	67.7
4376875	85616575	F	62	Black	Wake	0	69.3
4390264	85630095	F	42	Black	Wake	0	77.1
4378595	85618310	M	57	Black	Wake	0	65.8
4378703	85618418	F	43	Black	Wake	66.6	41.54
4396168	85636068	M	67	Black	Wake	0	61.8
4398158	85638079	M	41	Black	Wake	73.6	67.97
4387415	85627211	F	39	Black	Wake	0	67.7
4389589	85629415	F	55	Black	Wake	0	65.1
4399703	85639641	F	45	Black	Wake	0	65
4407181	85647192	F	59	Black	Wake	0	77.7
4409968	85650012	F	57	Black	Wake	0	76.6
4412878	85652952	F	46	Black	Wake	61	45.69
4439609	85679970	F	50	Black	Wake	0	63.8
4441306	85681682	M	54	Black	Wake	66.7	4.15
4443771	85684165	M	48	Black	Wake	0	62.6
4421386	85661543	M	44	Black	Wake	0	59.4
4447249	85687685	F	59	Black	Wake	0	66.2
4455520	85696051	M	45	Black	Wake	0	65.6
4422677	85662842	F	53	Black	Wake	0	64.2
4463523	85704172	F	66	Black	Wake	0	78.2
4468082	85708812	F	42	Black	Wake	0	71.4
4468923	85709667	F	47	Black	Wake	0	75.9
