Middl	DWID	Sex	Age	RaceName	CountyName 
336932	170843678	F	42	Caucasian	Orange
336992	170843738	M	47	Caucasian	Alamance
338728	170845474	F	53	Caucasian	Guilford
340422	170847168	F	41	Caucasian	Alamance
340898	170847644	M	64	Caucasian	Alamance
344271	170851017	F	45	Caucasian	Guilford
346191	170852937	F	31	Caucasian	Avery
348890	170855636	M	30	Caucasian	Haywood
358504	170865250	F	64	Caucasian	Brunswick
359923	170866669	F	61	Caucasian	Brunswick
364471	170871217	F	59	Caucasian	Brunswick
365708	170872454	F	57	Caucasian	Brunswick
368754	170875500	F	69	Caucasian	Brunswick
371176	170877922	F	42	Caucasian	Brunswick
381575	170888321	M	61	Caucasian	Brunswick
385631	170892377	F	79	Caucasian	Brunswick
387802	170894548	M	69	Caucasian	Brunswick
392497	170899243	F	54	Caucasian	Brunswick
393020	170899766	F	73	Caucasian	Brunswick
393892	170900638	M	73	Caucasian	Brunswick
394331	170901077	F	68	Caucasian	Brunswick
395210	170901956	F	61	Caucasian	Brunswick
398214	170904960	F	68	Caucasian	Brunswick
398707	170905453	F	69	Caucasian	Brunswick
399470	170906216	F	42	Caucasian	New Hanover
401575	170908321	F	29	Caucasian	Brunswick
402054	170908800	M	62	Caucasian	Brunswick
404306	170911052	F	40	Caucasian	Brunswick
404632	170911378	M	68	Caucasian	Brunswick
404665	170911411	M	76	Caucasian	Brunswick
405163	170911909	F	40	Caucasian	Brunswick
405449	170912195	F	61	Caucasian	Brunswick
405782	170912528	M	67	Caucasian	Brunswick
408607	170915353	M	71	Caucasian	Brunswick
409806	170916552	M	52	Caucasian	Brunswick
410407	170917153	M	71	Caucasian	Brunswick
410924	170917670	M	76	Caucasian	Brunswick
411192	170917938	M	68	Caucasian	Brunswick
411694	170918440	F	65	Caucasian	Brunswick
412087	170918833	F	64	Caucasian	Brunswick
412309	170919055	F	64	Caucasian	Brunswick
413099	170919845	F	52	Caucasian	Brunswick
413372	170920118	F	71	Caucasian	Brunswick
414066	170920812	F	72	Caucasian	Brunswick
416360	170923106	F	64	Caucasian	Brunswick
416390	170923136	F	57	Caucasian	Brunswick
416485	170923231	F	58	Caucasian	Brunswick
417141	170923887	F	73	Caucasian	Brunswick
426952	170933698	F	45	Asian	Buncombe
428159	170934905	F	26	Caucasian	Buncombe
430931	170937677	F	59	Caucasian	Buncombe
431216	170937962	F	37	Caucasian	Buncombe
433015	170939761	F	40	Caucasian	Buncombe
434557	170941303	M	78	Caucasian	Buncombe
435583	170942329	M	48	Caucasian	Buncombe
447168	170953914	F	78	Caucasian	Burke
452921	170959667	F	62	Caucasian	Burke
461460	170968206	F	59	Caucasian	Burke
461465	170968211	F	55	Caucasian	Burke
461982	170968728	F	65	Caucasian	Burke
464636	170971382	F	66	Caucasian	Burke
467540	170974286	F	53	Caucasian	Burke
473356	170980102	M	82	Caucasian	Burke
474393	170981139	F	44	Caucasian	Burke
477324	170984070	F	60	Caucasian	Burke
479874	170986620	F	52	Caucasian	Burke
481623	170988369	F	52	Caucasian	Caldwell
482550	170989296	M	69	Caucasian	Burke
482716	170989462	F	72	Caucasian	Burke
487019	170993765	F	26	Caucasian	Burke
491645	170998391	F	77	Caucasian	Buncombe
915081	171421827	F	60	Caucasian	Cumberland
930583	171437329	F	49	Caucasian	Currituck
932759	171439505	F	75	Caucasian	Dare
934733	171441479	F	61	Caucasian	Dare
946056	171452802	F	45	Caucasian	Dare
947374	171454120	F	55	Caucasian	Dare
947636	171454382	F	53	Caucasian	Dare
950053	171456799	F	67	Caucasian	McDowell
950925	171457671	F	28	Caucasian	Alamance
952869	171459615	F	33	Caucasian	Craven
963437	171470183	F	61	Caucasian	Davidson
972007	171478753	F	73	Caucasian	Davidson
972296	171479042	M	68	Caucasian	Davidson
976044	171482790	F	74	Caucasian	Davidson
977987	171484733	M	67	Caucasian	Davidson
984804	171491550	F	61	Caucasian	Robeson
987118	171493864	F	54	Caucasian	Davie
989727	171496473	F	56	Caucasian	Davidson
989775	171496521	F	65	Caucasian	Davidson
992366	171499112	M	41	Caucasian	Davidson
994051	171500797	M	43	Caucasian	Davidson
996863	171503609	F	47	Caucasian	Davidson
1003266	171510012	F	38	Caucasian	Davidson
1010321	171517067	F	45	Caucasian	Davidson
1014875	171521621	F	41	Caucasian	Davidson
1016830	171523576	F	52	Caucasian	Davidson
1021742	171528488	F	43	Caucasian	Davidson
1023003	171529749	F	50	Caucasian	Davidson
1024251	171530997	F	67	Caucasian	Henderson
1024414	171531160	M	44	Caucasian	Guilford
1026615	171533361	F	30	Caucasian	Davidson
1027101	171533847	F	57	Caucasian	Davidson
1027500	171534246	F	79	Caucasian	Davidson
1027993	171534739	M	42	Caucasian	Davidson
